anngar[N][Rel][3SgPoss][SgPosd]	anngaan
anngar[N][Rel][3SgPoss][PlPosd]	anngain
anngar[N][Rel][3SgPoss][DuPosd]	anngagken
anngar[N][Rel][3PlPoss][SgPosd]	anngaata
anngar[N][Rel][3PlPoss][PlPosd]	anngaita
anngar[N][Rel][3DuPoss][SgPosd]	anngaagnek
qimugte[N][Rel][3SgPoss][SgPosd]	qimugtiin
anngar[N][Rel][1SgPoss][SgPosd]	anngama
qetunrar*[N][Rel][3SgPoss][PlPosd]	qetunrain
qimugte[N][Rel][3PlPoss][PlPosd]	qimugtaita
qantar[N][Rel][3PlPoss][SgPosd]	qantaat
elitnauriste[N][Rel][1PlPoss][PlPosd]	elitnauristemta
irniar[N][Rel][3PlPoss][PlPosd]	irniarita
ila[N][Rel][3PlPoss][SgPosd]	iliita
allaner[N][Rel][2SgPoss][PlPosd]	allanerpet
uita-@~+vig[V→N][N][Rel][3PlPoss][SgPosd]	uitaviata
egaler[N][Abs][3SgPoss][PlPosd]	egalri
alqar[N][Rel][2SgPoss][SgPosd]	alqavet
ui[N][Rel][3SgPoss][SgPosd]	uingan
anngar[N][Rel][3SgPoss][PlPosd]	anngain
nasaurlur*[N][Rel][Unpd][Sg]	nasaurluum
angayuqar*[N][Rel][3SgPoss][DuPosd]	angayuqaagken
[e]ne[N][Rel][3DuPoss][SgPosd]	eniignek
amiig[N][Abs][3SgPoss][SgPosd]	amiiga
tangerr[V][Trns][Ind][A_1Sg][P_2Sg]	tangrramken
tangerr[V][Trns][Ind][A_1Sg][P_2Pl]	tangrramci
tangerr[V][Trns][Ind][A_1Pl][P_2Sg]	tangrramteggen
tangerr[V][Trns][Ind][A_1Pl][P_2Pl]	tangrramceci
tangerr[V][Trns][Ind][A_2Sg][P_1Sg]	tangrrarpenga
tangerr[V][Trns][Ind][A_2Sg][P_1Sg]	tangrravnga
tangerr[V][Trns][Ind][A_2Sg][P_1Pl]	tangrrarpekut
tangerr[V][Trns][Ind][A_2Pl][P_1Sg]	tangrrarpecia
tangerr[V][Trns][Ind][A_2Pl][P_1Pl]	tangrrarpecikut
tangerr[V][Trns][Ind][A_2Pl][P_1Pl]	tangrravcikut
anngar[N][Rel][4SgPoss][SgPosd]	anngami
anngar[N][Rel][4SgPoss][PlPosd]	anngami
anngar[N][Rel][4PlPoss][SgPosd]	anngameng
anngar[N][Rel][4PlPoss][PlPosd]	anngameng
anngar[N][Ter][4SgPoss][SgPosd]	anngaminun
anngar[N][Ter][4PlPoss][SgPosd]	anngameggnun
angyar[N][Via][4SgPoss][SgPosd]	angyamikun
angyar[N][Via][4PlPoss][SgPosd]	angyamegteggun
assike-@%:(u)te[V→V][V][Intr][Ind][S_3Du]	assikutuk
ikayur-@%:(u)te[V→V]-–llru[V→V][V][Intr][Ind][S_1Pl]	ikayuutellruukut
aqui-@%:(u)te[V→V][V][Intr][Ind][S_3Pl]	aquitut
nallunrite-@%:(u)te[V→V][V][Intr][Ind][S_3Du]	nallunrilutuk
qalarte-@%:(u)te[V→V][V][Intr][Ind][S_3Du]	qalarutuk
qaner-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qanrutaa
qalarte-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qalarutaa
qitevte-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qitʼvutaa
quuyurni-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	quuyurnitaa
quliri-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	quliritaa
iter-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	itrutaa
ane-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	anutaa
atrar-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	atrautaa
tage-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	tagutaa
tekite-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	tekiyutaa
tekite-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	tekiutaa
uterte-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	utʼrutaa
uterte-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	utrutaa
age-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	agutaa
kipute-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kipuyutaa
elag-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	elautaa
iqvar-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	iqvautaa
aqui-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	aquitaa
tegu-@%:(u)te[V→V][V][Intr][Ind][S_3Sg]	tegutuq
aqva-@%:(u)te[V→V][V][Intr][Ind][S_3Sg]	aqvatuq
nalke-@%:(u)te[V→V][V][Intr][Ind][S_3Sg]	nalkutuq
ikayur-@%:(u)te[V→V][V][Intr][Ind][S_3Sg]	ikayuutuq
igar-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	igautaa
igar[V][Trns][Ind][A_3Sg][P_3Sg]	igaraa
angyar-––li[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	angyalia
angyar-––li[N→V]-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	angyalitaa
angyar-–nge[N→V]-@~+yug[V→V][V][Intr][Ind][S_1Sg]	angyangyugtua
qiir*-–nge[N→V][V][Intr][Ind][S_2Sg]	qiinguten
aki-–nge[N→V][V][Intr][Ind][S_3Sg]	akinguq
irniar-–nge[N→V]-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	irniangeciquq
irniar-–nge[N→V]-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	irniangciquq
ui-–nge[N→V]-–ksaite[V→V][V][Intr][Ind][S_3Sg]=qaa[Encl]	uingeksaituq-qaa
nuliar-–nge[N→V]-@~+yuumiite[V→V][V][Intr][Ind][S_3Sg]	nuliangyuumiituq
nengllir-–nge[V→V][V][Intr][Ind][S_3Sg]	nengllinguq
qia-–nge[V→V][V][Intr][Ind][S_3Pl]	qiangut
qilug-–nge[V→V]-–llru[V→V][V][Trns][Ind][A_3Sg][P_1Pl]	qilungellruakut
kai-–nge[V→V]-–ksaite[V→V][V][Intr][Ind][S_1Sg]	kaingeksaitua
imar-–nge[N→V][V][Intr][Ind][S_3Sg]	imanguq
aana-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	aanakaa
alqar-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	alqaqaa
quya-@~+vig[V→N]-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	quyavikaa
qimugte-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Pl]	qimugtekai
nuliar-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Sg]	nuliaqaqa
nulirr-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Sg]	nulirqaqa
[e]ne-–ke[N→V][V][Trns][Ind][A_2Sg][P_3Sg]	nekʼan
pi-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Sg]	pikaqa
pi-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	pikaa
elitnauriste-–ke[N→V][V][Trns][Ind][A_3Pl][P_3Sg]	elitnauristekaat
ila-–ke[N→V]-@%:(u)te[V→V][V][Intr][Ind][S_3Pl]	ilakutut
pitar-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Pl]	pitaqanka
pitar-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	pitaqaa
ater-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	atqaa
angayuqar*-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Du]	angayuqagka
maurlur*-%:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	maurluuguq
maurlur*-–ke[N→V][V][Trns][Ind][A_1Sg][P_3Sg]	maurluqaqa
cuka-@~+(t)vaa[how.V][V→XCLM]	cukavaa
ange-@~+(t)vaa[how.V][V→XCLM]	angvaa
cukaite-@~+(t)vaa[how.V][V→XCLM]	cukaipaa
kiircete-@~+(t)vaa[how.V][V→XCLM]	kiircepaa
qerrute-@~+(t)vaa[how.V][V→XCLM]	qerrupaa
nengllir-@~+(t)vaa[how.V][V→XCLM]	nengllirpaa
assir-@~+(t)vaa[how.V][V→XCLM]	assirpaa
assiite-@~+(t)vaa[how.V][V→XCLM]	assiipaa
alingnarqe-@~+(t)vaa[how.V][V→XCLM]	alingnaqvaa
kegge-@~–yuite[V→V]-@~+(t)vaa[how.V][V→XCLM]=lli[Encl]	keggsuipaa-lli
tama[DemPro][Abs][Unpd][Sg]	tamana
tamaku[DemPro][Abs][Unpd][Pl]	tamakut
tamaa[DemAdv][Loc]	tamaani
uneg[DemPro][Abs][Unpd][Sg]	unegna
unegku[DemPro][Abs][Unpd][Pl]	unegkut
unʼga[DemAdv][Loc]	unʼgani
ik[DemPro][Abs][Unpd][Sg]	ikna
ikegku[DemPro][Abs][Unpd][Pl]	ikegku
ika[DemAdv][Loc]	ikani
ping[DemPro][Abs][Unpd][Sg]	pingna
pingku[DemPro][Abs][Unpd][Pl]	pingkut
pia[DemAdv][Loc]	piani
kegg[DemPro][Abs][Unpd][Sg]	keggna
kegku[DemPro][Abs][Unpd][Pl]	kegkut
kegga[DemAdv][Loc]	keggani