akutar[N][Abl_Mod][Unpd][Sg]	akutamek
akutar[N][Abl_Mod][Unpd][Pl]	akutanek
angyar[N][Abl_Mod][Unpd][Sg]	angyamek
angyar[N][Abl_Mod][Unpd][Pl]	angyanek
angute[N][Abl_Mod][Unpd][Sg]	angutmek
angute[N][Abl_Mod][Unpd][Pl]	angutnek
arnar[N][Abl_Mod][Unpd][Sg]	arnamek
arnar[N][Abl_Mod][Unpd][Pl]	arnanek
asver[N][Abl_Mod][Unpd][Sg]	asvermek
asver[N][Abl_Mod][Unpd][Pl]	asvernek
atkug[N][Abl_Mod][Unpd][Sg]	atkugmek
atkug[N][Abl_Mod][Unpd][Pl]	atkugnek
atsalugpiar[N][Abl_Mod][Unpd][Sg]	atsalugpiamek
atsalugpiar[N][Abl_Mod][Unpd][Pl]	atsalugpianek
cavute[N][Abl_Mod][Unpd][Sg]	cavutmek
cavute[N][Abl_Mod][Unpd][Pl]	cavutnek
elitnaurvig[N][Abl_Mod][Unpd][Sg]	elitnaurvigmek
elitnaurvig[N][Abl_Mod][Unpd][Pl]	elitnaurvignek
estuulur[N][Abl_Mod][Unpd][Sg]	estuulumek
estuulur[N][Abl_Mod][Unpd][Pl]	estuulunek
igte[N][Abl_Mod][Unpd][Sg]	igteḿek
igte[N][Abl_Mod][Unpd][Pl]	igteńek
ikamrar[N][Abl_Mod][Unpd][Sg]	ikamramek
ikamrar[N][Abl_Mod][Unpd][Pl]	ikamranek
imar[N][Abl_Mod][Unpd][Sg]	imamek
imar[N][Abl_Mod][Unpd][Pl]	imanek
kassʼar[N][Abl_Mod][Unpd][Sg]	kassʼamek
kassʼar[N][Abl_Mod][Unpd][Pl]	kassʼanek
kaviar*[N][Abl_Mod][Unpd][Sg]	kaviarmek
kaviar*[N][Abl_Mod][Unpd][Pl]	kaviarnek
kemeg[N][Abl_Mod][Unpd][Sg]	kemegmek
kemeg[N][Abl_Mod][Unpd][Pl]	kemegnek
kuig[N][Abl_Mod][Unpd][Sg]	kuigmek
kuig[N][Abl_Mod][Unpd][Pl]	kuignek
kuuviar[N][Abl_Mod][Unpd][Sg]	kuuviamek
kuuviar[N][Abl_Mod][Unpd][Pl]	kuuvianek
mikelngur*[N][Abl_Mod][Unpd][Sg]	mikelngurmek
mikelngur*[N][Abl_Mod][Unpd][Pl]	mikelngurnek
nacar[N][Abl_Mod][Unpd][Sg]	nacamek
nacar[N][Abl_Mod][Unpd][Pl]	nacanek
nanvar[N][Abl_Mod][Unpd][Sg]	nanvamek
nanvar[N][Abl_Mod][Unpd][Pl]	nanvanek
nater[N][Abl_Mod][Unpd][Sg]	natermek
nater[N][Abl_Mod][Unpd][Pl]	naternek
nayir*[N][Abl_Mod][Unpd][Sg]	nayirmek
nayir*[N][Abl_Mod][Unpd][Pl]	nayirnek
neqe[N][Abl_Mod][Unpd][Sg]	neqmek
neqe[N][Abl_Mod][Unpd][Pl]	neqnek
nuliar[N][Abl_Mod][Unpd][Sg]	nuliamek
nuliar[N][Abl_Mod][Unpd][Pl]	nulianek
nuna[N][Abl_Mod][Unpd][Sg]	nunamek
nuna[N][Abl_Mod][Unpd][Pl]	nunanek
nuteg[N][Abl_Mod][Unpd][Sg]	nutegmek
nuteg[N][Abl_Mod][Unpd][Pl]	nutegnek
pengur[N][Abl_Mod][Unpd][Sg]	pengumek
pengur[N][Abl_Mod][Unpd][Pl]	pengunek
qair*[N][Abl_Mod][Unpd][Sg]	qairmek
qair*[N][Abl_Mod][Unpd][Pl]	qairnek
qantar[N][Abl_Mod][Unpd][Sg]	qantamek
qantar[N][Abl_Mod][Unpd][Pl]	qantanek
qimugte[N][Abl_Mod][Unpd][Sg]	qimugteḿek
qimugte[N][Abl_Mod][Unpd][Pl]	qimugteńek
suupar[N][Abl_Mod][Unpd][Sg]	suupamek
suupar[N][Abl_Mod][Unpd][Pl]	suupanek
tume[N][Abl_Mod][Unpd][Sg]	tumemek
tume[N][Abl_Mod][Unpd][Pl]	tumnek
tuntuvag[N][Abl_Mod][Unpd][Sg]	tuntuvagmek
tuntuvag[N][Abl_Mod][Unpd][Pl]	tuntuvagnek
ui[N][Abl_Mod][Unpd][Sg]	uimek
ui[N][Abl_Mod][Unpd][Pl]	uinek
uluar[N][Abl_Mod][Unpd][Sg]	uluamek
uluar[N][Abl_Mod][Unpd][Pl]	uluanek
yug[N][Abl_Mod][Unpd][Sg]	yugmek
yug[N][Abl_Mod][Unpd][Pl]	yugnek
Yupʼig[N][Abl_Mod][Unpd][Sg]	Yupʼigmek
Yupʼig[N][Abl_Mod][Unpd][Pl]	Yupʼignek